"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"TicketNetwork",,"11413120","Concerts - Farm Aid","Farm Aid","Farm Aid, Willie Nelson, Neil Young, Dave MAtthews, John Mellencamp, new york, saratoga, SPAC, concert, ticket, fun, live music, music","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-11413120-1405698138000"" target=""_blank"">Farm Aid Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11413120-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151001?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11413120-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11268575","Concerts - Bon Jovi - 728 x 90","Click Here For Bon Jovi Tickets","Bon Jovi, Tickets, Concerts, Circle Tour, Rock, Rock Band","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11268575-1405698138000"" target=""_blank""> <img src=""http://www.ftjcfx.com/image-7839687-11268575-1405698138000"" width=""728"" height=""90"" alt=""Buy Bon Jovi Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151002?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11268575-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11324726","Concerts - Pink","Buy Pink Tickets","Pink, Concerts, Music, Fun, Tickets","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11324726-1405698138000"" target=""_blank""> <img src=""http://www.ftjcfx.com/image-7839687-11324726-1405698138000"" width=""728"" height=""90"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16151003?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11324726-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11324719","Concerts - Pink","Buy Pink Tickets","Pink, Concerts, Fun,","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11324719-1405698138000"" target=""_blank""> <img src=""http://www.awltovhc.com/image-7839687-11324719-1405698138000"" width=""120"" height=""240"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151004?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11324719-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11035595","Concerts - ZZ Top","Buy ZZ Top Tickets","ZZ Top, Tickets, Concert, tour, blues rock band,","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11035595-1405698138000"" target=""_blank"">ZZ Top Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11035595-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151005?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11035595-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11268538","Concerts - Bon Jovi - 120 x 240","Click Here for Bon Jovi Tickets","Bon Jovi, Tickets, Concerts, Circle Tour, Rock, Rock Band","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11268538-1405698138000"" target=""_blank""> <img src=""http://www.awltovhc.com/image-7839687-11268538-1405698138000"" width=""120"" height=""240"" alt=""Buy Bon Jovi Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151006?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11268538-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11268545","Concerts - Bon Jovi - 300 x 250","Click Here For Bon Jovi Tickets","Bon Jovi, Tickets, Concerts, Circle Tour, Rock, Rock Band","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11268545-1405698138000"" target=""_blank""> <img src=""http://www.lduhtrp.net/image-7839687-11268545-1405698138000"" width=""300"" height=""250"" alt=""Buy Bon Jovi Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151007?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11268545-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11275665","Concert - Tim McGraw","Tim McGraw tickets at TicketNetwork.com","Fun Concert Tickets","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-11275665-1405698138000"" target=""_blank""> Tim McGraw Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11275665-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151008?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11275665-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11324722","Concerts - Pink","Buy Pink Tickets","Pink, Concerts, Tickets, Music, Fun","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11324722-1405698138000"" target=""_blank""> <img src=""http://www.lduhtrp.net/image-7839687-11324722-1405698138000"" width=""250"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16151009?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11324722-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11246394","Concert - Bon Jovi","Bon Jovi tickets at TicketNetwork.com","Bon Jovi, Concert, Fun, Tickets, mucis,","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11246394-1405698138000"" target=""_blank"">Bon Jovi Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11246394-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151010?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11246394-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11252644","Concert- Kid Rock","Kid Rock tickets at TicketNetwork.com","Concert, Fun, Kid Rock, Rock, Tickets","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11252644-1405698138000"" target=""_blank"">Kid Rock tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11252644-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151011?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11252644-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11345684","Concerts - Fall Out Boy","Fall Out Boy tickets at TicketNetwork.com","Fall Out Boy, fall out boy tickets, concerts, fun, live music, tickets, shows","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11345684-1405698138000"" target=""_blank"">Fall Out Boy Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11345684-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151012?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11345684-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11007275","Concerts - Grand Ole Opry  - 250 x 250","Buy Grand Ole Opry Tickets","Grand Ole Opry, Tickets, Nashville","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11007275-1405698138000"" target=""_blank""> <img src=""http://www.tqlkg.com/image-7839687-11007275-1405698138000"" width=""250"" height=""250"" alt=""Buy Grand Ole Opry Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151013?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11007275-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11034324","Concerts - The Black Keys","Black Keys tickets at TicketNetwork.com","Black Keys, alternative, rock, concerts, guitar, tickets, music","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11034324-1405698138000"" target=""_blank"">The Black Keys Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11034324-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151014?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11034324-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11040073","Concerts - Cee Lo Green","Buy Cee Lo Green Tickets","Cee Lo Green, Tickets, Hip-Hop, tour, concerts","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11040073-1405698138000"" target=""_blank"">Cee Lo  Green Tickets</a><img src=""http://www.lduhtrp.net/image-7839687-11040073-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151015?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-11040073-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11334368","Concerts - Phish","Phish tickets at TicketNetwork.com","Phish, concerts, live music, music, fun","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11334368-1405698138000"" target=""_blank"">Phish Tickets</a><img src=""http://www.lduhtrp.net/image-7839687-11334368-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151016?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11334368-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11345702","Concerts - Big Time Rush","Big Time Rush tickets at TicketNetwork.com","Big Time Rush, concerts, tickets, music, live music, fun, pop","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-11345702-1405698138000"" target=""_blank"">Big Time Rush Tickets</a><img src=""http://www.tqlkg.com/image-7839687-11345702-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151017?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11345702-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11405323","Concert - Queens of the Stone Age","Queens of the Stone Age","Queens of the Stone Age, concerts, tickets, fun, music, live","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-11405323-1405698138000"" target=""_blank"">Queens of the Stone Age Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11405323-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151018?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11405323-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11246405","Concert- Def Leppard","Def Leppard tickets at TicketNetwork.com","Def Leppard, Concert, Fun, Rock, Show","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11246405-1405698138000"" target=""_blank"">Def Leppard Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11246405-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151019?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-11246405-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11163635","Concerts - Green Day","Green Day tickets at TicketNetwork.com","Green Day, concert, tour, tickets, Billie Joe Armstrong, punk rock","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11163635-1405698138000"" target=""_blank"">Green Day Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11163635-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151020?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11163635-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketLiquidator",,"10755880","Concert tickets","Find cheap sold-out concert tickets to the biggest acts in the world. ","concert tickets, concert tour tickets, cheap concert tickets, cheap concerts","Text Link","11.43 € EUR","31.09 € EUR","21-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-10755880-1405955857000"" target=""_blank"">Find cheap concert tickets!</a><img src=""http://www.tqlkg.com/image-7839687-10755880-1405955857000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151021?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-10755880-1405955857000","Sale/Discount","","","","Events","2916100","Active","English","No"
"TicketNetwork",,"11574502","Concerts - Kings of Leon","Kings of Leon tickets at TicketNetwork.com","Kings of Leon","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11574502-1405698138000"" target=""_blank"">Kings of Leon</a><img src=""http://www.ftjcfx.com/image-7839687-11574502-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151022?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11574502-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11640606","Concerts- Lady Gaga","Lady Gaga Tickets at TicketNetwork.com","Lady Gaga, tickets, music","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11640606-1405698138000"" target=""_blank"">Lady Gaga Tickets</a><img src=""http://www.ftjcfx.com/image-7839687-11640606-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151023?target=_blank&mouseover=N""></script>","http://www.jdoqocy.com/click-7839687-11640606-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11669822","Concerts- The Band Perry","The Band Perry Tickets at TicketNetwork.com","The Band Perry, The Band Perry Tickets, The Band Perry Tour, The Band Perry Concert, The Band Perry Country Concert","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11669822-1405698138000"" target=""_blank"">The Band Perry Tickets</a><img src=""http://www.lduhtrp.net/image-7839687-11669822-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.dpbolvw.net/placeholder-16151024?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11669822-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11179237","Concerts - Heart","Heart tickets at TicketNetwork.com","Heart, concert, tickets, tour, hard rock, Ann Wilson, Nancy Wilson","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11179237-1405698138000"" target=""_blank"">Heart Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11179237-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151025?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11179237-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11001721","Concerts - Big Time Rush - 120 x 600","Buy Big Time Rush Tickets","Big Time Rush, Tickets, Boy Band, pop music, rock music","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.kqzyfj.com/click-7839687-11001721-1405698138000"" target=""_blank""> <img src=""http://www.ftjcfx.com/image-7839687-11001721-1405698138000"" width=""120"" height=""600"" alt=""Buy Big Time Rush Tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151026?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11001721-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11085218","Concerts - Big Time Rush - 300 x 250","Buy Big Time Rush Tickets","Big Time Rush, Concert, Tour, Tickets","Banner","N/A","N/A","18-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11085218-1405698138000"" target=""_blank""> <img src=""http://www.awltovhc.com/image-7839687-11085218-1405698138000"" width=""300"" height=""250"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151027?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11085218-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"PrimeSport",,"11384780","Rap & Hip-Hop Concert Tickets","Rap & Hip-Hop Concert Tickets","Macklemore & Ryan Lewis, Flo Rida, Kendrick Lamar, Lil' Wayne, Pitbull, Wiz Khalifa, concerts, concert tickets","Text Link","N/A","N/A","30-Jul-2014","<a href=""http://www.tkqlhce.com/click-7839687-11384780-1406763000000"" target=""_blank"">Rap & Hip-Hop Concert Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11384780-1406763000000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151028?target=_blank&mouseover=N""></script>","http://www.kqzyfj.com/click-7839687-11384780-1406763000000","N/A","","","","Events","3912545","Active","English","No"
"TicketLiquidator",,"10856702","Small Concert Banner","Concert tickets are a big part of our business and this banner is the smaller version of one of our most popular. It can fit easily into websites and you can paste it anywhere.","concert tickets, concerts, cheap concerts, live music tickets, cheap tickets, concert schedules, 2011 concert schedule, 2011 concert tickets","Banner","N/A","N/A","21-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-10856702-1405955857000"" target=""_blank""> <img src=""http://www.lduhtrp.net/image-7839687-10856702-1405955857000"" width=""384"" height=""45"" alt=""Cheap concert tickets"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""http://www.kqzyfj.com/placeholder-16151029?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-10856702-1405955857000","Sale/Discount","","","","Events","2916100","Active","English","No"
"TicketNetwork",,"11296186","Concerts - Sting","Sting Tickets at TicketNetwork.com","Sting, the police, concert, tickets, fun","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.jdoqocy.com/click-7839687-11296186-1405698138000"" target=""_blank"">Sting Tickets</a><img src=""http://www.lduhtrp.net/image-7839687-11296186-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.tkqlhce.com/placeholder-16151030?target=_blank&mouseover=N""></script>","http://www.tkqlhce.com/click-7839687-11296186-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11328977","Concerts - O.A.R.","O.A.R. tickets at TicketNetwork.com","O.A.R., OAR, concerts, fun, music, live music, band","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.anrdoezrs.net/click-7839687-11328977-1405698138000"" target=""_blank"">O.A.R. Tickets</a><img src=""http://www.awltovhc.com/image-7839687-11328977-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.jdoqocy.com/placeholder-16151031?target=_blank&mouseover=N""></script>","http://www.dpbolvw.net/click-7839687-11328977-1405698138000","N/A","","","","Events","2288710","Active","English","No"
"TicketNetwork",,"11400720","Concerts - Nine Inch Nails","Nine Inch Nails","Nine Inch Nails, music, concerts, tickets, live music, fun","Text Link","N/A","N/A","18-Jul-2014","<a href=""http://www.dpbolvw.net/click-7839687-11400720-1405698138000"" target=""_blank"">Nine Inch Nails Tickets</a><img src=""http://www.lduhtrp.net/image-7839687-11400720-1405698138000"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""http://www.anrdoezrs.net/placeholder-16151032?target=_blank&mouseover=N""></script>","http://www.anrdoezrs.net/click-7839687-11400720-1405698138000","N/A","","","","Events","2288710","Active","English","No"
